"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","10","10","1","4.667540","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey_Lit.OculusMR_ChromaKey_Lit","0","31","31","1","73.874344","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","4","4","1","1.067773","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","1.327219","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","12","12","1","4.695991","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","12","12","1","5.644517","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","29","29","1","15.711726","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","10","1","3.633981","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","19","20","1","7.312394","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Burden_Projectile.M_Burden_Projectile","0","80","84","2","36.784851","0","0"
"/Game/FXVarietyPack/Materials/M_ky_flare_flash.M_ky_flare_flash","0","68","68","2","30.484201","0","0"
"/Game/ParagonGideon/Characters/Global/Hair/Materials/M_HairSheet_Master2.M_HairSheet_Master2","0","705","747","3","1219.654663","1410","1494"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Undertow/Materials/M_Undertow_Wheel_Demo.M_Undertow_Wheel_Demo","0","196","208","2","286.664093","392","416"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Mephisto/Materials/M_Gideon_Upperbody_Mephisto.M_Gideon_Upperbody_Mephisto","0","416","444","2","692.621521","832","888"
"/Game/FXVarietyPack/Materials/M_ky_smoke01.M_ky_smoke01","0","52","52","2","22.370750","0","0"
"/Game/FXVarietyPack/Materials/M_ky_polar.M_ky_polar","0","76","76","2","30.909901","0","0"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","196","208","2","77.978104","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Portal_Space_Mini.M_Portal_Space_Mini","0","183","195","3","81.907959","0","0"
"/Game/FXVarietyPack/Materials/M_ky_primitive_dyn2.M_ky_primitive_dyn2","0","94","94","2","34.445747","0","0"
"/Game/ParagonGideon/FX/Materials/Flares/M_LensFlareMaster.M_LensFlareMaster","0","106","112","2","48.677975","0","0"
"/Game/ParagonGideon/Characters/Global/Feathers/M_Global_Feathers.M_Global_Feathers","0","346","366","2","535.147705","692","732"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Materials/M_Gideon_OuterRing_Particle.M_Gideon_OuterRing_Particle","0","382","406","2","376.102905","382","1218"
"/Game/ParagonGideon/FX/Materials/Flares/M_GlowPoint_DistShrink_MASTER.M_GlowPoint_DistShrink_MASTER","0","106","112","2","48.647861","0","0"
"/Game/ParagonGideon/FX/Materials/Sparks/M_Hotdog_Spark_VLerp_MASTER.M_Hotdog_Spark_VLerp_MASTER","0","34","34","1","18.117224","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/M_Radial_Blur_Refraction.M_Radial_Blur_Refraction","0","32","32","1","15.613845","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Wispy_Pulse.M_Wispy_Pulse","0","26","26","1","12.553316","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Explosion_Smoke_Spears.M_Explosion_Smoke_Spears","0","42","42","1","22.688200","0","0"
"/Game/ParagonGideon/FX/Materials/Flares/M_DarkFlare_DistShrink.M_DarkFlare_DistShrink","0","53","56","1","26.677332","0","0"
"/Game/ParagonGideon/FX/Materials/Debris/M_Explosion_RockChunks.M_Explosion_RockChunks","0","153","157","1","123.766403","0","0"
"/Game/MT_None.MT_None","0","31","31","1","23.368963","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_2Sided_Master.M_Add_Sprite_2Sided_Master","0","42","42","1","18.925310","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_Master.M_Add_Sprite_Master","0","34","34","1","15.725634","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_Master_DepthFade.M_Add_Sprite_Master_DepthFade","0","34","34","1","16.057810","0","0"
"/Game/VirtualReality/Materials/M_SplineArcMat.M_SplineArcMat","0","22","22","1","9.623216","0","0"
"/Game/MT_Projectile.MT_Projectile","0","15","15","1","8.836371","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","10","1","3.550132","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/M_Spark_VelocityLerp_TeamColor.M_Spark_VelocityLerp_TeamColor","0","26","26","1","12.863057","0","0"
"/Game/ParagonGideon/FX/Materials/Flares/M_Lensflare_012.M_Lensflare_012","0","26","26","1","12.336958","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Abilities/M_Burden_Projectile_Outer.M_Burden_Projectile_Outer","0","40","42","1","18.644251","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Wispy_Smoke_Trail_Projectile.M_Wispy_Smoke_Trail_Projectile","0","32","32","1","14.991388","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","68","68","1","40.068462","0","0"
"/Game/ParagonGideon/Characters/Global/Eyelash/M_EyelashMaster.M_EyelashMaster","0","200","210","1","281.190002","200","210"
"/Game/ParagonGideon/Characters/Global/Eyes/Materials/M_Eye_Occlusion.M_Eye_Occlusion","0","121","128","1","63.142860","0","0"
"/Game/ParagonGideon/Characters/Global/Eyes/Materials/M_TearDuct_2.M_TearDuct_2","0","221","235","1","252.577271","221","235"
"/Game/ParagonGideon/Characters/Global/Eyes/Materials/M_TearLine.M_TearLine","0","294","308","1","1262.083008","294","308"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Materials/M_Gideon_Ring_Glow.M_Gideon_Ring_Glow","0","97","107","1","84.484299","97","107"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Mephisto/Materials/M_Gideon_Head.M_Gideon_Head","0","150","160","1","128.946884","150","160"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Mephisto/Materials/M_Gideon_Upperbody_Skin_Mephisto.M_Gideon_Upperbody_Skin_Mephisto","0","208","222","1","184.376495","208","222"
"/Game/ParagonGideon/Characters/Global/Mouth/Materials/M_Mouth_Master.M_Mouth_Master","0","163","173","1","143.483231","163","173"
"/Game/ParagonGideon/Characters/Global/Eyes/Materials/M_EyeRefractive.M_EyeRefractive","0","221","235","1","221.053574","221","235"
"/Game/FXVarietyPack/Materials/M_ky_primitive.M_ky_primitive","0","87","92","1","32.287819","0","0"
"/Game/FXVarietyPack/Materials/M_ky_base_turbulence.M_ky_base_turbulence","0","42","42","1","16.415052","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/Mobile/M_IceBlastFog.M_IceBlastFog","0","22","22","1","7.726230","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Trans_Sprite_SubUV_Master.M_Trans_Sprite_SubUV_Master","0","34","34","1","16.685820","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_SubUV_Master.M_Add_Sprite_SubUV_Master","0","34","34","1","17.162897","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/ICE/M_IceShard.M_IceShard","0","18","18","1","8.472874","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Trail_2Sided_Pan_Master.M_Add_Trail_2Sided_Pan_Master","0","32","32","1","12.668846","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/ICE/M_IceChunksBase.M_IceChunksBase","0","34","34","1","14.630319","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Trans_Sprite_Master_DepthFade.M_Trans_Sprite_Master_DepthFade","0","26","26","1","11.989082","0","0"
"/Game/FXVarietyPack/Materials/M_ky_empty.M_ky_empty","0","34","34","1","14.125674","0","0"
"/Game/FXVarietyPack/Materials/M_ky_subUV_dynRGB.M_ky_subUV_dynRGB","0","34","34","1","13.958629","0","0"
"/Game/MT_TransparentSPhere.MT_TransparentSPhere","0","31","31","1","17.798178","0","0"
"/Game/Rock_6.Rock_6","0","51","51","1","26.083530","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/Glyph/M_IB_Debris_Boxes_Trans.M_IB_Debris_Boxes_Trans","0","18","18","1","7.226160","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Trans_Sprite_Lit_SubUV_Master.M_Trans_Sprite_Lit_SubUV_Master","0","115","115","1","70.127670","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Opaque_MeshEmit_Lit_Emis_Master.M_Opaque_MeshEmit_Lit_Emis_Master","0","60","60","1","29.473953","0","0"
"/Game/TrailPack/Materials/M_Stroke03.M_Stroke03","0","42","42","1","14.519268","0","0"
"/Game/TrailPack/Materials/M_Wave03.M_Wave03","0","52","52","1","18.270262","0","0"
"/Game/VirtualReality/Mannequin/Character/Materials/M_HandMat.M_HandMat","0","39","39","1","18.196756","0","0"
"/Game/VirtualReality/Materials/M_ArcEndpoint.M_ArcEndpoint","0","43","43","1","26.297766","0","0"
"/Game/VirtualReality/Materials/M_TeleportPreviews.M_TeleportPreviews","0","12","12","1","4.422538","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Portal_Open_Burst.M_Portal_Open_Burst","0","97","102","1","34.955471","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Wisp_SplineThicken.M_Wisp_SplineThicken","0","36","38","1","13.319142","0","0"
"/Game/ParagonGideon/FX/Materials/Smoke/M_Inky_Smoke_Burst.M_Inky_Smoke_Burst","0","62","62","1","20.553040","0","0"
"/Game/ParagonGideon/FX/Materials/Fire/M_Fire_SubUV_Blue.M_Fire_SubUV_Blue","0","32","32","1","11.825039","0","0"
"/Game/ParagonGideon/FX/Materials/Flares/M_Lensflare_TB_Soft.M_Lensflare_TB_Soft","0","26","26","1","10.023164","0","0"
"/Game/ParagonGideon/FX/Materials/Flares/M_Lensflare_TB_SoftGlow.M_Lensflare_TB_SoftGlow","0","26","26","1","9.885897","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Skins/Undertow/M_Particle_Decal_Glow_Undertow.M_Particle_Decal_Glow_Undertow","0","42","42","1","15.989645","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Skins/Undertow/M_Undertow_Flame_Halo.M_Undertow_Flame_Halo","0","26","26","1","10.307940","0","0"
"/Game/ParagonGideon/FX/Materials/Misc/M_Spookyface_Flame.M_Spookyface_Flame","0","26","26","1","10.322062","0","0"
"/Game/ParagonGideon/FX/Materials/Sparks/M_Hotdog_Spark_VLerp_Rand_Master.M_Hotdog_Spark_VLerp_Rand_Master","0","26","26","1","9.883592","0","0"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Tough/Materials/M_Gideon_Tough_Arms.M_Gideon_Tough_Arms","0","208","222","1","172.835907","208","222"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Tough/Materials/M_Skin_Gideon_Custom.M_Skin_Gideon_Custom","0","163","173","1","130.215149","163","173"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Tough/Materials/M_Gideon_Tough_Parent.M_Gideon_Tough_Parent","0","237","253","1","338.543030","474","506"
"/Engine/EngineMaterials/DefaultParticle.DefaultParticle","0","128","140","1","36.749233","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_BlackHole_Mesh.M_BlackHole_Mesh","0","70","74","1","19.765717","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_BlackHole_Sprite.M_BlackHole_Sprite","0","59","62","1","20.015493","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_BlackHole_Vortex.M_BlackHole_Vortex","0","22","22","1","7.480286","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/M_Teleport_Refraction.M_Teleport_Refraction","0","32","32","1","11.864538","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_BlackHole_Rim.M_BlackHole_Rim","0","78","82","1","28.832964","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Wisp_SplineThicken_Small.M_Wisp_SplineThicken_Small","0","36","38","1","12.900926","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Skins/Undertow/M_Star_Runes_Ring_Undertow.M_Star_Runes_Ring_Undertow","0","78","82","1","29.160126","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Skins/Undertow/M_Star_Runes_Small_Undertow.M_Star_Runes_Small_Undertow","0","50","50","1","16.779495","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/M_Ice_Halo.M_Ice_Halo","0","42","42","1","16.899977","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/M_Wispy_Pulse_Dense.M_Wispy_Pulse_Dense","0","26","26","1","10.080483","0","0"
"/Game/ParagonGideon/FX/Materials/HeatDistort/M_Shockwave_Refract.M_Shockwave_Refract","0","62","62","1","21.618824","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Star_Runes_Ring.M_Star_Runes_Ring","0","78","82","1","29.144699","0","0"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Inquisitor/Materials/M_Gideon_Head_Inquisitor.M_Gideon_Head_Inquisitor","0","150","160","1","118.953629","150","160"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Inquisitor/Materials/M_Gideon_Lowerbody_Inquisitor.M_Gideon_Lowerbody_Inquisitor","0","208","222","1","216.158401","208","222"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Inquisitor/Materials/M_Gideon_Upperbody_Inquisitor.M_Gideon_Upperbody_Inquisitor","0","208","222","1","225.333618","208","222"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Inquisitor/Materials/M_Gideon_Upperbody_skin_Inquisitor.M_Gideon_Upperbody_skin_Inquisitor","0","208","222","1","171.070435","208","222"
"/Game/ParagonGideon/Characters/Global/Eyes/Materials/M_Global_GlowingEye.M_Global_GlowingEye","0","87","87","1","43.371109","0","0"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Undertow/Materials/M_Undertow_Barnacle_Tongue_Dem.M_Undertow_Barnacle_Tongue_Dem","0","160","170","1","60.281002","0","0"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Undertow/Materials/M_Undertow_Body_Demo.M_Undertow_Body_Demo","0","98","104","1","143.878448","196","208"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Undertow/Materials/M_Undertow_Head_Arms_Demo.M_Undertow_Head_Arms_Demo","0","92","98","1","91.050156","92","98"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Skins/Undertow/Materials/M_Undertow_Legs_Demo.M_Undertow_Legs_Demo","0","160","170","1","246.011444","320","340"
"/Game/MT_VFX1.MT_VFX1","0","26","26","1","9.987368","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","4","4","1","1.369235","0","0"
"/Game/VirtualReality/Materials/M_BaseMaterial.M_BaseMaterial","0","48","48","1","22.729439","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","36","36","1","17.233408","0","0"
"/Game/VirtualReality/Materials/GenericHMDMaterial.GenericHMDMaterial","0","27","27","1","10.298775","0","0"
"/Game/EnvironmentPack2/Materials/M_DungeonMainDoor.M_DungeonMainDoor","0","15","15","1","9.375228","0","0"
"/Game/EnvironmentPack2/Materials/M_DemonDoor.M_DemonDoor","0","24","24","1","12.932430","0","0"
"/Game/EnvironmentPack2/Materials/M_MapRoom_Pillars.M_MapRoom_Pillars","0","15","15","1","7.581952","0","0"
"/Game/EnvironmentPack2/Materials/M_Decay.M_Decay","0","24","24","1","13.082543","0","0"
"/Game/EnvironmentPack2/Materials/M_PitGround.M_PitGround","0","15","15","1","7.797090","0","0"
"/Game/EnvironmentPack2/Materials/M_Coliseum_3_2Sided.M_Coliseum_3_2Sided","0","36","38","1","14.016581","0","0"
"/Game/EnvironmentPack2/Materials/M_Coliseum_4_Masked.M_Coliseum_4_Masked","0","49","51","1","20.467035","0","0"
"/Game/EnvironmentPack2/Materials/M_Scaffolding.M_Scaffolding","0","24","24","1","12.909549","0","0"
"/Game/EnvironmentPack2/Materials/M_Courtyard_Pillar_D.M_Courtyard_Pillar_D","0","29","30","1","15.617324","0","0"
"/Game/EnvironmentPack2/Materials/M_Coliseum_4.M_Coliseum_4","0","29","30","1","15.697493","0","0"
"/Game/EnvironmentPack2/Materials/M_Coliseum_3.M_Coliseum_3","0","29","30","1","15.542964","0","0"
"/Game/EnvironmentPack2/Materials/M_Coliseum_2.M_Coliseum_2","0","29","30","1","15.221338","0","0"
"/Engine/EngineSky/M_SkyTimeOfDay.M_SkyTimeOfDay","0","9","10","1","3.975172","0","0"
"/Game/EnvironmentPack2/Materials/M_Coliseum_1.M_Coliseum_1","0","29","30","1","15.149266","0","0"
"/Game/EnvironmentPack2/Materials/M_Coliseum_4_Transparent.M_Coliseum_4_Transparent","0","33","33","1","17.976151","0","0"
"/Game/TrailPack/Materials/M_Aura.M_Aura","0","52","52","1","16.832930","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","20","20","1","3.817694","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Skins/Undertow/M_Star_Runes_Big_Undertow.M_Star_Runes_Big_Undertow","0","78","82","1","28.985998","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Star_Runes_Big.M_Star_Runes_Big","0","78","82","1","29.274748","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Portal_Space_Opposite.M_Portal_Space_Opposite","0","40","42","1","14.904736","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Abilities/M_Portal_Space.M_Portal_Space","0","36","38","1","13.708703","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Abilities/M_OverheadPortal.M_OverheadPortal","0","40","42","1","13.104341","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Wisp_SplineThicken_Claw.M_Wisp_SplineThicken_Claw","0","36","38","1","14.465949","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Abilities/M_Portal_Outer_Smoke.M_Portal_Outer_Smoke","0","40","42","1","15.240886","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Skins/Undertow/M_OverheadPortal_Undertow.M_OverheadPortal_Undertow","0","40","42","1","15.247005","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/Skins/Undertow/M_Portal_Space_Undertow.M_Portal_Space_Undertow","0","36","38","1","14.790092","0","0"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_BlackHole_OuterSmoke.M_BlackHole_OuterSmoke","0","40","42","1","14.273352","0","0"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Materials/M_Gideon_Upperbody.M_Gideon_Upperbody","0","416","444","2","419.637360","416","444"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Materials/M_Gideon_Upperbody_Skin.M_Gideon_Upperbody_Skin","0","208","222","1","196.781830","208","222"
"/Game/ParagonGideon/Characters/Heroes/Gideon/Materials/M_Gideon_Head.M_Gideon_Head","0","150","160","1","132.288834","150","160"
"/Game/InfinityBladeEffects/Effects/FX_Materials/ICE/M_IceBlastBase.M_IceBlastBase","0","115","115","1","66.665215","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/ICE/M_IceBlastIcicles_Fade.M_IceBlastIcicles_Fade","0","115","115","1","72.624870","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/Mobile/M_AuraCircle.M_AuraCircle","0","22","22","1","7.194986","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/Glyph/M_IB_Debris_Boxes_Opaque.M_IB_Debris_Boxes_Opaque","0","6","6","1","1.514703","0","0"
"/Game/MT_EnemyProjectile.MT_EnemyProjectile","0","15","15","1","7.846378","0","0"
"/Game/MT_VFX2.MT_VFX2","0","34","34","1","13.031285","0","0"
